institution;country;papers;latitude;longitude
Center for Autism and Related Disorders;US;5;37.380499;-121.94129
Centre d'Etudes Superieures Industrielles;FR;5;48.9199485;2.3327844
Centre Inria de l'Université Grenoble Alpes;FR;5;;
Chalmers University of Technology;SE;5;57.6897462;11.9765259
Chinese Institute for Brain Research;CN;5;;
Computer Vision Center;ES;5;27.694689;85.2853437
Deakin University;AU;5;-37.8475136;145.1149474
Drexel University;US;5;39.9545335;-75.1865653
HAW Hamburg;DE;5;53.5565471;10.022715
IMEC;BE;5;50.8651015;4.6776509
Indiana University Bloomington;US;5;39.1802358;-86.5093526
Institut des Sciences du Mouvement Etienne-Jules Marey;FR;5;;
Institut des Sciences Moléculaires;FR;5;44.8070676;-0.596068
Institut Mines-Télécom;FR;5;48.6249126;2.4427797
Institute for Language and Speech Processing;GR;5;;
Jiangsu University;CN;5;32.2028216;119.5095502
Keio University;JP;5;35.5538164;139.6414098
Korea University;KR;5;36.6108894;127.2934174
Kyung Hee University;KR;5;37.5971213;127.0519867
La Trobe University;AU;5;-37.7169359;145.043982
Laboratoire d'Informatique en Images et Systèmes d'Information;FR;5;;
Laboratoire Parole et Langage;FR;5;43.5331425;5.4456964
Lyon 1 Université;FR;5;45.7816645;4.8681545
McGill University;CA;5;45.4318428;-73.9452864
Michigan State University;US;5;42.7023794;-84.4803869
Michigan United;US;5;39.7750204;-86.1980839
Nanjing University of Information Science and Technology;CN;5;;
Nankai University;CN;5;38.9869388;117.33941
National Cheng Kung University;TW;5;22.9990116;120.2162155
National Institute of Advanced Industrial Science and Technology;JP;5;36.0531797;140.1171149
National Institute of Informatics;JP;5;53.9201832;27.6034472
National Institute of Standards and Technology;US;5;39.1316116;-77.2165406
Queensland University of Technology;;5;-27.542195;153.0649526
Reykjavík University;IS;5;64.1247375;-21.9275372
Shanghai University of Engineering Science;CN;5;31.0572641;121.2008668
St Petersburg University;RU;5;59.9406782;30.2964999
Sungkyunkwan University;KR;5;37.3003187;126.9697911
Syracuse University;US;5;43.0171129;-76.1185536
The Ohio State University;US;5;40.0056982;-83.0286573
Tianjin Normal University;CN;5;39.0613669;117.1191949
Tongji University;CN;5;31.2847393;121.4969491
Tufts University;US;5;42.4064499;-71.1180771
University of Antwerp;BE;5;51.1843856;4.4199387
University of Bari Aldo Moro;IT;5;41.1094882;16.8816878
University of California, Davis;US;5;38.5337904;-121.7907544
University of California, Irvine;US;5;33.6458956;-117.842799
University of California, Santa Barbara;US;5;34.4146025;-119.84581
University of Eastern Finland;FI;5;62.6043509;29.7422326
University of Essex;GB;5;51.8773639;0.9498751
University of Liège;BE;5;50.6368602;5.5624252
University of Massachusetts Amherst;US;5;42.3893259;-72.5283614
University of Michigan–Dearborn;US;5;42.3172294;-83.2319394
University of Michigan–Flint;US;5;43.0190005;-83.6889868
University of North Carolina at Chapel Hill;US;5;35.9050354;-79.0477533
University of Regensburg;DE;5;49.0030835;12.0962683
University of the Aegean;GR;5;37.4453962;24.941762
University of Warwick;GB;5;52.3813073;-1.5639569
Université de Montpellier;FR;5;43.6331162;3.8605852
Vrije Universiteit Brussel;BE;5;50.8225504;4.3954969
Yunnan University;CN;5;24.8297177;102.8511808
